Category,Value,Percent
Energy supply grids and storage,3547022.664,20
Energy efficiency heating and cooling in buildings,2569567.986,15
Industry decarbonisation (low-carbon technologies CCUS and energy efficiency in industrial sectors excl. energy sector),1036859.635,6
Permanent removals (BECCS / DACCS),735.131206,0
Social support and just transition,1570728.275,9
International purposes and international climate finance,99853.84527,1
Public transport and mobility,4328520.604,24
Road transport,538251.823,3
Aviation (including alternative fuels),20458.60079,0
Maritime transport (including energy efficiency infrastructure and alternative fuels),21065.21031,0
Adaptation,239545.9483,1
LULUCF agriculture and land-based removals,196861.6511,1
Waste management,44438.926,0
Administrative expenses,83513.85274,0
Other,3372766.593,19
