Year,Historical emissions,Projected emissions (with existing measures),Projected emissions (with additional measures),Cap on emissions,Years
2005,2093,,,,2005
2006,2092,,,,2006
2007,2118,,,,2007
2008,1992,,,,2008
2009,1769,,,,2009
2010,1815,,,,2010
2011,1792,,,,2011
2012,1741,,,,2012
2013,1686,,,,2013
2014,1619,,,,2014
2015,1630,,,,2015
2016,1607,,,,2016
2017,1621,,,,2017
2018,1557,,,,2018
2019,1414,,,,2019
2020,1253,,,,2020
2021,1337,,,1572,2021
2022,1313,,,1529,2022
2023,1097,1162,1162,1486,2023
2024,1033,1115,1110,1312,2024
2025,,1065,1049,1227,2025
2026,,1017,988,1116,2026
2027,,962,921,1032,2027
2028,,910,859,946,2028
2029,,850,784,860,2029
2030,,801,725,774,2030
